City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
102,puerto natales,-51.7236,-72.4875,1.75,97,100,0.96,CL,1689837006
103,betong,5.7743,101.0723,25.77000000000004,91,100,1.21,TH,1689836956
104,hithadhoo,-0.6,73.0833,28.32000000000005,75,18,7.54,MV,1689837006
105,nova sintra,14.8667,-24.7167,22.950000000000045,83,82,3.74,CV,1689837007
106,nyurba,63.2842,118.3319,25.950000000000045,38,38,3.06,RU,1689837007
107,utrik,11.2278,169.8474,28.420000000000016,78,100,7.82,MH,1689837007
108,baskale,38.0453,44.0172,22.430000000000007,30,0,2.04,TR,1689837008
109,hinthada,17.6333,95.4667,30.939999999999998,63,77,7.11,MM,1689837008
110,machiques,10.0644,-72.545,25.82000000000005,75,6,1.52,VE,1689837008
111,kapuskasing,49.4169,-82.4331,14.610000000000014,78,100,1.77,CA,1689837008
112,flying fish cove,-10.4217,105.6791,25.82000000000005,73,75,7.2,CX,1689837009
113,lebu,-37.6167,-73.65,12.860000000000014,92,100,8.26,CL,1689837009
114,porto novo,6.4965,2.6036,25.57000000000005,87,88,3.15,BJ,1689837010
115,badger,64.8,-147.5333,19.430000000000007,89,100,1.54,US,1689837010
116,bredasdorp,-34.5322,20.0403,9.75,70,100,1.69,ZA,1689837011
117,katsuura,35.1333,140.3,30.010000000000048,78,11,5.91,JP,1689837011
118,jayapura,-2.5333,140.7,24.660000000000025,79,35,3.79,ID,1689837011
119,puerto lempira,15.2667,-83.7667,26.660000000000025,89,100,4.28,HN,1689837012
120,uliastay,47.7417,96.8444,26.590000000000032,22,14,1.91,MN,1689837012
121,kintinku,-5.8833,35.2333,23.900000000000034,45,55,1.95,TZ,1689837012
122,loiza,18.4313,-65.8802,28.410000000000025,85,40,2.57,PR,1689837012
123,vernon,50.2581,-119.2691,22.74000000000001,43,22,3.09,CA,1689836775
124,viedma,-40.8135,-62.9967,8.310000000000002,57,0,8.65,AR,1689837013
125,nantucket,41.2835,-70.0995,23.03000000000003,82,11,4.15,US,1689836965
126,muli,2.9167,73.5667,28.420000000000016,73,28,4.25,MV,1689837013
127,labrador city,52.9463,-66.9114,10.129999999999995,83,92,3.92,CA,1689837014
128,tevriz,57.509,72.4042,26.189999999999998,51,36,2.58,RU,1689837014
129,saint-leu,-21.15,55.2833,25.480000000000018,84,1,1.12,RE,1689837014
130,knyaze-volkonskoye,48.4642,135.4567,31.189999999999998,38,30,5.02,RU,1689837015
131,pumiao,22.75,108.4833,31.77000000000004,67,100,4.45,CN,1689837015
132,bilibino,68.0546,166.4372,14.560000000000002,79,100,2.02,RU,1689837015
133,uturoa,-16.7333,-151.4333,25.170000000000016,65,100,9.09,PF,1689837015
134,milton keynes,52.0417,-0.7558,15.900000000000034,84,0,2.68,GB,1689837016
135,vanimo,-2.6741,141.3028,28.25,75,43,4.06,PG,1689837016
136,tingo maria,-9.2895,-76.0088,18.939999999999998,96,12,0.84,PE,1689837016
137,myitkyina,25.3833,97.4,26.53000000000003,94,100,0.98,MM,1689836892
138,olonkinbyen,70.9221,-8.7187,5.25,87,100,2.44,SJ,1689837017
139,kidal,18.4411,1.4078,33.18000000000001,32,42,5.67,ML,1689837017
140,tubarjal,30.4999,38.216,34.0,13,0,8.26,SA,1689837017
141,vilyuchinsk,52.9306,158.4028,16.150000000000034,91,85,2.69,RU,1689837017
142,ulladulla,-35.35,150.4667,15.360000000000014,32,100,5.64,AU,1689837018
143,anadyr,64.75,177.4833,15.28000000000003,82,75,4.0,RU,1689837018
144,karatuzskoye,53.6072,92.8667,29.930000000000007,29,28,1.58,RU,1689837018
145,pemangkat,1.1667,108.9667,28.980000000000018,74,100,4.46,ID,1689837018
146,st. john's,47.5649,-52.7093,22.930000000000007,95,75,4.12,CA,1689836723
147,tofol,5.3248,163.0078,27.99000000000001,78,100,5.03,FM,1689837019
148,bandar-e genaveh,29.5791,50.517,38.84000000000003,29,0,7.63,IR,1689837019
149,aasiaat,68.7098,-52.8699,4.1200000000000045,99,100,6.08,GL,1689837019
150,selfoss,63.9331,-20.9971,12.25,73,100,2.14,IS,1689837020
151,cabo san lucas,22.8909,-109.9124,33.120000000000005,63,33,3.13,MX,1689836843
152,la'ie,21.6477,-157.9253,27.980000000000018,82,100,3.13,US,1689837020
153,hawaiian paradise park,19.5933,-154.9731,24.730000000000018,97,100,1.54,US,1689837020
154,kailua-kona,19.6406,-155.9956,29.220000000000027,91,100,5.14,US,1689837021
